Portfolio,Period,Ann_Mean_Pct,Ann_Vol_Pct,Ann_Sharpe,Max_Drawdown_Pct,T_Stat,P_Value,N_Obs
Regular Momentum,1980-2025,9.620691925485204,15.488970912092096,0.6211317704763987,-54.075920452878144,3.9242880452528666,9.975384518426591e-05,479
VM Portfolio,1980-2025,13.819126311278312,15.525487885426115,0.8900928855350448,-36.47886651439292,5.623574635685984,3.186387118894324e-08,479
VM Leg,1980-2025,13.137089217068866,15.525487885426118,0.8461627302160817,-41.61447176974606,5.346025504344523,1.3953337394066104e-07,479
