Portfolio,Period,Ann_Mean_Pct,Ann_Vol_Pct,Ann_Sharpe,Max_Drawdown_Pct,T_Stat,P_Value,N_Obs
Regular Momentum,1980-2025,9.620691925485204,15.488970912092096,0.6211317704763987,-1209.4056115415224,3.9242880452528666,9.975384518426591e-05,479
VM Portfolio,1980-2025,13.819126311278312,15.525487885426115,0.8900928855350448,-813.9293357056055,5.623574635685984,3.186387118894324e-08,479
VM Leg,1980-2025,13.137089217068866,15.525487885426118,0.8461627302160817,-928.5167714826068,5.346025504344523,1.3953337394066104e-07,479
Regular Momentum,2011-2017,10.042764513043458,11.797446824216735,0.8512659275080247,-493.12608428119506,2.0706361991922297,0.04208246129416971,71
VM Portfolio,2011-2017,7.095100435639012,11.718278856723034,0.605472913077879,-125.01941879007488,1.4727643747230892,0.14529696165724262,71
VM Leg,2011-2017,12.785411760568287,11.718278856723034,1.0910656690195606,-252.17249336154276,2.6539298672288196,0.009839509588630856,71
Regular Momentum,2018-2025,8.208291982537135,14.320021525178575,0.5732038857696323,-459.7604770711974,1.5075007920643764,0.13552548022546998,83
VM Portfolio,2018-2025,9.219785178100679,14.255491418413543,0.6467532340689188,-378.36850647572106,1.7009323154186224,0.09274522631800101,83
VM Leg,2018-2025,11.737498599112588,14.255491418413543,0.8233668173621491,-317.0610146005198,2.1654182048441433,0.033261277087635495,83
Regular Momentum,2000-2010,-7.658503073982742,27.856855117709127,-0.2749234628827174,-948.798788973634,-0.8657543118945256,0.38838172972596885,119
VM Portfolio,2000-2010,7.440624452062466,27.741100329692863,0.26821663032948795,-553.1405729605654,0.8446340002949657,0.40002445022059385,119
VM Leg,2000-2010,12.34939705096116,27.74110032969286,0.4451660858507082,-581.1509749559465,1.4018609190110232,0.1635817903673546,119
