Portfolio,Period,Ann_Mean_Pct,Ann_Vol_Pct,Ann_Sharpe,Max_Drawdown_Pct,T_Stat,P_Value,N_Obs
Regular Momentum,2018-2025,8.208291982537135,14.320021525178575,0.5732038857696323,-19.005735568828296,1.5075007920643764,0.13552548022546998,83
VM Portfolio,2018-2025,9.219785178100679,14.255491418413543,0.6467532340689188,-15.570643117084481,1.7009323154186224,0.09274522631800101,83
VM Leg,2018-2025,11.737498599112588,14.255491418413543,0.8233668173621491,-13.047713591887412,2.1654182048441433,0.033261277087635495,83
